1,601198,东兴证券,24.39,3.65,21319,4.13,16281,3.15,5038,0.98,-15484,-3.00,-5835,-1.13,2016-11-14 15:00:00
1,600868,梅雁吉祥,-,-,21273,3.79,18093,3.23,3180,0.57,-6497,-1.16,-14776,-2.64,2016-11-14 15:00:00
1,601336,新华保险,44.94,3.98,21266,8.40,17504,6.91,3761,1.49,-13907,-5.49,-7358,-2.91,2016-11-14 15:00:00
2,002679,福建金森,58.29,46.27,20985,9.16,25252,11.03,-4267,-1.86,-15876,-6.93,-5109,-2.23,2016-11-14 15:00:00
2,300526,中潜股份,113.50,34.08,20846,9.07,25447,11.07,-4601,-2.00,-14517,-6.31,-6329,-2.75,2016-11-14 15:00:00
1,601618,中国中冶,4.68,9.09,20485,4.33,19406,4.10,1078,0.23,-4915,-1.04,-15569,-3.29,2016-11-14 15:00:00
2,002346,柘中股份,23.39,31.18,20233,13.39,21979,14.54,-1746,-1.16,-12277,-8.12,-7955,-5.26,2016-11-14 15:00:00
2,002813,路畅科技,69.49,26.02,19759,4.85,3851,0.95,15908,3.91,20862,5.12,-40621,-9.98,2016-11-14 15:00:00
2,300368,汇金股份,27.86,10.21,19690,6.15,28637,8.95,-8948,-2.80,-19805,-6.19,115,0.04,2016-11-14 15:00:00
2,002358,森源电气,20.99,8.64,19582,8.53,13852,6.03,5730,2.50,-8421,-3.67,-11161,-4.86,2016-11-14 15:00:00
1,601919,中国远洋,5.84,12.09,19496,7.16,20285,7.45,-789,-0.29,-7726,-2.84,-11770,-4.32,2016-11-14 15:00:00
1,600030,中信证券,17.65,4.25,19290,1.07,45858,2.55,-26573,-1.48,-14687,-0.82,-4599,-0.26,2016-11-14 15:00:00
